,Company,Job,Salary,Reported,Location,Rating
6052,iNoryaSoft,Front End Web Developer,600000,1,Chennai,4.7
6053,Thorsignia,Front End Web Developer,288000,1,Chennai,4.4
6054,Purpleslate,Front End Web Developer,400000,1,Chennai,4.6
6055,YaarMe,Front End Web Developer - Intern,120000,1,Chennai,4.7
6056,Radical Softtech Systems,Front End Web Developer,100000,1,Chennai,3.5
6057,Awarious,Front End Web Developer,324000,1,Chennai,5.0
6058,SinuousTech,Front End Web Developer,300000,1,Chennai,4.0
6059,Impower Solutions,Front End Web Developer,500000,1,Chennai,3.2
6060,Raga Designers,Front End Web Developer,180000,1,Chennai,3.1
6061,Virinchi Software,Front End Web Developer,168000,1,Chennai,3.9
6062,Expert Outsourcing India,Front End Web Developer,200000,1,Chennai,4.0
6063,Hype Worx,Front End Web Developer,1140000,1,Chennai,4.0
6064,HASHLOG,Front End Web Developer,192000,1,Chennai,4.0
6065,360degreeinfo,Front End Web Developer,240000,1,Chennai,5.0
6066,InnoBlitz Technologies,Front End Web Developer,180000,1,Chennai,4.0
6067,Caterpillar,Senior Front End Developer,1700000,1,Chennai,4.0
6068,Merit Group,Senior Front End Developer,300000,1,Chennai,4.0
6069,Ameex,Senior Front End Developer,700000,1,Chennai,4.1
6070,doodleblue Innovations,Senior Front End Developer,1000000,1,Chennai,4.4
6071,Freelancer,Senior Front End Developer,200000,1,Chennai,4.0
6072,Isolve Technologies,Senior Front End Developer,400000,1,Chennai,3.4
6073,SuperOps.ai,Senior Front End Developer,1100000,1,Chennai,4.6
6074,1st Risk Solutions,Senior Front End Developer,456000,1,Chennai,4.0
6075,KART,Senior Front End Developer,552000,1,Chennai,4.0
6076,ICICI Bank,Front End Cashier,216000,1,Chennai,3.7
6077,Sutherland,Front End Cashier,96000,1,Chennai,3.8
6078,HCL,Front End Cashier,72000,1,Chennai,3.6
6079,Future Retail Limited,Front End Cashier,120000,1,Chennai,3.9
6080,Fincare Small Finanace Bank,Front End Cashier,200000,1,Chennai,3.7
6081,First Gulf Exchange Centre,Front End Cashier,300000,1,Chennai,4.0
6082,Fresherworld.com,Junior Front End Developer,300000,1,Chennai,4.0
6083,SPi Global,Junior Front End Developer,400000,1,Chennai,3.5
6084,F22 Labs,Junior Front End Developer,500000,1,Chennai,4.4
6085,Tata Consultancy Services,Front End Engineer,800000,1,Chennai,3.9
6086,ABCO Advisory Services India,Front End Engineer,2500000,1,Chennai,3.6
6087,Magzter,Front End Engineer,600000,1,Chennai,4.1
6088,Asort,Front End Engineer,228000,1,Chennai,4.3
6089,Gogo,Front End Engineer,1100000,1,Chennai,4.2
6090,Intelizest,Front End Engineer,1800000,1,Chennai,4.5
6091,Nextazy Solutions,Front End Engineer,200000,1,Chennai,4.3
6092,RevenueHero,Front End Engineer,800000,1,Chennai,4.0
6093,Modus Create,Front End Engineer,48576,1,Chennai,4.4
6094,Accenture,Front End Associate,800000,1,Chennai,4.1
6095,ICS Consultancy,Front End Associate,1800000,1,Chennai,3.9
6096,Manaran,Front End,168000,1,Chennai,4.0
6097,Fresher,Front-End Web Developer,348000,1,Chennai,4.3
6098,AugRay,Front-End Web Developer,200000,1,Chennai,4.4
6099,Freshworks,Lead Front End Developer,2600000,1,Chennai,4.3
6100,Capgemini,Front End UI Developer,420000,1,Chennai,3.8
6101,HCL Technologies,Front End UI Developer,1104000,1,Chennai,3.7
6102,Zoho,Front End UI Developer,600000,1,Chennai,4.5
6103,EMPLOYERS,Front End UI Developer,200000,1,Chennai,4.1
6104,Xerago,Front End UI Developer,360000,1,Chennai,3.1
6105,GP Strategies,Front End UI Developer,228000,1,Chennai,3.5
6106,CanGo Networks,Front End UI Developer,60000,1,Chennai,4.1
6107,ReDIM,Front End UI Developer,168000,1,Chennai,3.5
6108,Speech and Software Technologies,Front End UI Developer,300000,1,Chennai,4.0
6109,ABCO Advisory Services India,Senior Front End Engineer,2000000,1,Chennai,3.6
6110,WLT Group,Senior Front-end Developer,1100000,1,Chennai,3.2
6111,BNY Mellon,Sr. Front End Developer,1400000,1,Chennai,3.6
6112,Ziffity,Sr. Front End Developer,1000000,1,Chennai,4.3
6113,Timeless Ventures,Front-End Engineer,400000,1,Chennai,4.9
6114,HCL Technologies,Front End React Developer,1000000,1,Chennai,3.7
6115,CTS,Front End React Developer,500000,1,Chennai,3.8
6116,Marisomart,Front End Web Developer/Designer,400000,1,Chennai,4.8
6117,Freshworks,Senior Software Engineer - Front End,1100000,1,Chennai,4.3
6118,Unmetric,Junior Front End Engineer,900000,1,Chennai,4.4
6119,HVS,Front End Service Clerk/Cashier,216000,1,Chennai,4.5
6120,BNY Mellon,Sr Front-End Engineer,1500000,1,Chennai,3.6
6121,First Student,Front End Web Deceloper,1200000,1,Chennai,4.1
6122,Jorim Technology Solutions,ReactJS/Redux Front-End Developer,456000,1,Chennai,5.0
6123,First Student,UI Developer/Front End Developer,300000,1,Chennai,4.1
6124,Atos-Syntel,UI/Front End Developer,400000,1,Chennai,3.5
6125,Accenture,Front End Web Development,500000,1,Chennai,4.1
6126,Kissflow,React Js Front End Developer,672000,1,Chennai,4.6
6127,Rajalakshmi Engineering College,Fresher Front End,360000,1,Chennai,4.0
6128,Howdy,Front End Developer - Javascript/HTML5,312000,1,Chennai,4.0
6129,Comcast,Front End Engineer III,1800000,1,Chennai,3.9
6130,Photon,Front-end Web Developer (Software Engineer),600000,1,Chennai,3.9
6131,Tata Consultancy Services (North America),Front End Developer,400000,1,Hyderabad,3.8
6132,NTT DATA,Front End Developer,400000,1,Hyderabad,3.8
6133,DONE by NONE,Front End Developer,60000,1,Hyderabad,4.0
6134,EMPLOYERS,Front End Developer,252000,1,Hyderabad,4.1
6135,HARMAN,Front End Developer,600000,1,Hyderabad,3.9
6136,YES,Front End Developer,204000,1,Hyderabad,4.2
6137,Self Opportunity,Front End Developer,648000,1,Hyderabad,4.3
6138,Verizon,Front End Developer,1900000,1,Hyderabad,3.9
6139,Freshers.com,Front End Developer,312000,1,Hyderabad,4.0
6140,Fresher,Front End Developer,252000,1,Hyderabad,4.3
6141,XYZ,Front End Developer - Contractor,800000,1,Hyderabad,3.8
6142,ValueLabs,Front End Developer,100000,1,Hyderabad,4.0
6143,ValueLabs,Front End Developer,400000,1,Hyderabad,4.0
6144,Collabera,Front End Developer,948000,1,Hyderabad,3.8
6145,Intellect Design Arena,Front End Developer,200000,1,Hyderabad,4.0
6146,Dr. Reddy's,Front End Developer,700000,1,Hyderabad,3.9
6147,MAQ Software,Front End Developer,800000,1,Hyderabad,3.1
6148,MAQ Software,Front End Developer - Intern,624000,1,Hyderabad,3.1
6149,Virtual Employee,Front End Developer,400000,1,Hyderabad,4.1
6150,EPAM Systems,Front End Developer - Intern,600000,1,Hyderabad,3.9
6151,EPAM Systems,Front End Developer,500000,1,Hyderabad,3.9
6152,TIBCO Software,Front End Developer,800000,1,Hyderabad,3.8
6153,Fresher Than Fresh,Front End Developer,516000,1,Hyderabad,4.3
6154,ServiceNow,Front End Developer,540000,1,Hyderabad,4.5
6155,Apexon,Front End Developer,1188000,1,Hyderabad,4.3
6156,Pramati Technologies,Front End Developer,1200000,1,Hyderabad,4.4
6157,Talent Zone Consultants,Front End Developer,200000,1,Hyderabad,5.0
6158,Magna Infotech,Front End Developer,300000,1,Hyderabad,3.3
6159,Freelance,Front End Developer,600000,1,Hyderabad,4.3
6160,PK,Front End Developer,100000,1,Hyderabad,4.0
6161,Nothing,Front End Developer,600000,1,Hyderabad,3.9
6162,Next Education India,Front End Developer,480000,1,Hyderabad,3.7
6163,Im a fresher stop asking me,Front End Developer,300000,1,Hyderabad,4.2
6164,ACS Solutions,Front End Developer,600000,1,Hyderabad,4.0
6165,Self Employment & Entrepreneur Development Society,Front End Developer,57024,1,Hyderabad,4.4
6166,Phenom,Front End Developer,540000,1,Hyderabad,4.0
6167,Gainsight,Front End Developer,1000000,1,Hyderabad,4.6
6168,Web Developers India,Front End Developer,656832,1,Hyderabad,4.3
6169,Software Developers,Front End Developer,300000,1,Hyderabad,4.1
6170,PurpleTalk,Front End Developer,500000,1,Hyderabad,3.7
6171,Harsha,Front End Developer,500000,1,Hyderabad,3.8
6172,DynPro,Front End Developer,700000,1,Hyderabad,3.8
6173,Live Connections,Front End Developer,100000,1,Hyderabad,4.1
6174,Priyanka,Front End Developer,500000,1,Hyderabad,4.0
6175,iB Hubs,Front End Developer - Intern,500000,1,Hyderabad,4.6
6176,Ferns N Petals,Front End Developer - Intern,132000,1,Hyderabad,4.1
6177,Keka HR,Front End Developer - Intern,192000,1,Hyderabad,4.6
6178,RAJA,Front End Developer,396000,1,Hyderabad,4.0
6179,Sagarsoft,Front End Developer,800000,1,Hyderabad,4.1
6180,Klaxon India Private Limited,Front End Developer,900000,1,Hyderabad,3.5
6181,Foraysoft,Front End Developer Contractor,420000,1,Hyderabad,4.2
6182,The Video Editor,Front End Developer,384000,1,Hyderabad,4.3
6183,Junior Engineers,Front End Developer,252000,1,Hyderabad,4.0
6184,Congruex,Front End Developer - Intern,500000,1,Hyderabad,3.9
6185,HRDevi Talent Acquisition,Front End Developer,400000,1,Hyderabad,3.3
6186,Intense Technologies,Front End Developer,500000,1,Hyderabad,4.0
6187,Anlage HRO Services,Front End Developer,1800000,1,Hyderabad,4.3
6188,TIGI HR Solution,Front End Developer,948000,1,Hyderabad,4.9
6189,IT Convergence,Front End Developer - Contractor,1300000,1,Hyderabad,4.1
6190,DLT Labs,Front End Developer,648000,1,Hyderabad,3.7
6191,Vinod,Front End Developer,120000,1,Hyderabad,3.9
6192,Virinchi Technologies,Front End Developer,600000,1,Hyderabad,3.7
6193,GE Appliances,Front End Developer - Intern,252000,1,Hyderabad,3.9
6194,Gemini Consulting,Front End Developer - Intern,144000,1,Hyderabad,3.9
6195,Lavanya,Front End Developer,100000,1,Hyderabad,3.9
6196,TalentSprint,Front End Developer,324000,1,Hyderabad,4.3
6197,Wavelabs Technologies,Front End Developer,1100000,1,Hyderabad,4.5
6198,Aviso,Front End Developer,800000,1,Hyderabad,3.9
6199,SpringML,Front End Developer,500000,1,Hyderabad,4.5
6200,Frontend Design,Front End Developer,300000,1,Hyderabad,4.5
6201,Frugal Testing,Front End Developer - Intern,96000,1,Hyderabad,4.6
6202,Arth Design Build,Front End Developer,400000,1,Hyderabad,3.7
6203,Forsys,Front End Developer,800000,1,Hyderabad,4.0
6204,INFINIMINDS,Front End Developer,1800000,1,Hyderabad,4.2
6205,Scoop Technologies (India),Front End Developer,1000000,1,Hyderabad,4.7
6206,IBI Group,Front End Developer,700000,1,Hyderabad,3.7
6207,Globex Digital Solutions,Front End Developer,1000000,1,Hyderabad,3.8
6208,GL Communications,Front End Developer,252000,1,Hyderabad,3.7
6209,Sun Icon Systems,Front End Developer,400000,1,Hyderabad,4.4
6210,f1Studioz,Front End Developer,700000,1,Hyderabad,4.0
6211,Helius Technologies,Front End Developer,700000,1,Hyderabad,4.5
6212,Srikoleti Eservices,Front End Developer,300000,1,Hyderabad,3.7
6213,SAS,Front End Developer,500000,1,Hyderabad,3.7
6214,EnterPi,Front End Developer,600000,1,Hyderabad,4.0
6215,ISS SoftTech,Front End Developer,800000,1,Hyderabad,4.6
6216,InfoLogitech,Front End Developer,700000,1,Hyderabad,4.2
6217,UXReactor,Front End Developer,500000,1,Hyderabad,4.4
6218,Netrovert Software,Front End Developer,100000,1,Hyderabad,4.5
6219,JD Sports Fashion,Front End Developer,900000,1,Hyderabad,3.1
6220,Hiregange & Associates,Front End Developer,324000,1,Hyderabad,3.8
6221,Lince Soft Solutions,Front End Developer,500000,1,Hyderabad,4.4
6222,Webileapps,Front End Developer,200000,1,Hyderabad,4.3
6223,Teja,Front End Developer,800000,1,Hyderabad,4.0
6224,Vunique Solutions,Front End Developer,1000000,1,Hyderabad,4.6
6225,KUNCHAM Software Solutions,Front End Developer,240000,1,Hyderabad,4.1
6226,My Ally,Front End Developer,1200000,1,Hyderabad,2.7
6227,IoT Research Labs,Front End Developer,700000,1,Hyderabad,3.2
6228,Kratin Mobile Software Solution Pvt Ltd,Front End Developer,600000,1,Hyderabad,4.0
6229,Helical IT Solutions,Front End Developer,252000,1,Hyderabad,3.6
6230,TechnoGen IT Services,Front End Developer,1500000,1,Hyderabad,2.8
6231,Neugene International,Front End Developer,1300000,1,Hyderabad,4.7
6232,UV Infratech Systems,Front End Developer,372000,1,Hyderabad,4.4
6233,WTA Studios,Front End Developer,500000,1,Hyderabad,4.1
6234,Man Industries,Front End Developer,360000,1,Hyderabad,3.4
6235,Aptagrim Consulting,Front End Developer,504000,1,Hyderabad,4.2
6236,Egnify Technologies,Front End Developer,500000,1,Hyderabad,3.0
6237,T&AS Designtech Services,Front End Developer,800000,1,Hyderabad,3.5
6238,SportsIT,Front End Developer,400000,1,Hyderabad,4.8
6239,Yumzy,Front End Developer,300000,1,Hyderabad,4.4
6240,On Device Solutions,Front End Developer,300000,1,Hyderabad,3.8
6241,ReactJS,Front End Developer,500000,1,Hyderabad,4.7
6242,Kani Solutions,Front End Developer,600000,1,Hyderabad,4.6
6243,Jukshio,Front End Developer,1020000,1,Hyderabad,4.2
6244,EbixCash Global Services,Front End Developer,264000,1,Hyderabad,1.9
6245,Aravind Studio,Front End Developer,252000,1,Hyderabad,3.5
6246,Othain Group,Front End Developer,500000,1,Hyderabad,3.5
6247,Pick My Solar,Front End Developer,800000,1,Hyderabad,4.2
6248,Enfec,Front End Developer,400000,1,Hyderabad,4.8
6249,Modern Business Solutions,Front End Developer,168000,1,Hyderabad,3.0
6250,Mims Meat,Front End Developer,1000000,1,Hyderabad,3.9
6251,Web Development Basics,Front End Developer - Intern,264000,1,Hyderabad,4.3
6252,Sharadha Terry Products,Front End Developer,1800000,1,Hyderabad,4.0
6253,Edwisely,Front End Developer - Intern,132000,1,Hyderabad,4.8
6254,CyberBest Technology,Front End Developer,400000,1,Hyderabad,3.4
6255,Yagna Technologies,Front End Developer,120000,1,Hyderabad,2.6
6256,"Primesoft (Piscataway, NJ)",Front End Developer,240000,1,Hyderabad,4.4
6257,Einsite,Front End Developer,800000,1,Hyderabad,4.1
6258,NprodaX Techonologies,Front End Developer - Intern,100000,1,Hyderabad,4.1
6259,interTouch,Front End Developer,200000,1,Hyderabad,3.1
6260,Youth Villages,Front End Developer,312000,1,Hyderabad,3.4
6261,VAM Systems,Front End Developer - Intern,120000,1,Hyderabad,2.9
6262,Adwaitham Global IT Solutions,Front End Developer,400000,1,Hyderabad,4.3
6263,ExpertEase,Front End Developer,1000000,1,Hyderabad,4.2
6264,Vaaraahi Tech Solutions,Front End Developer,132000,1,Hyderabad,4.0
6265,Blockchain,Front End Developer,1200000,1,Hyderabad,4.1
6266,Huddl,Front End Developer,700000,1,Hyderabad,3.5
6267,NXT Wave,Front End Developer,600000,1,Hyderabad,2.9
6268,Radiant Systems,Front End Developer,800000,1,Hyderabad,3.3
6269,CatchThatBus,Front End Developer,700000,1,Hyderabad,3.8
6270,Conversion Bug,Front End Developer,400000,1,Hyderabad,3.5
6271,O-I Glass,Front End Developer,648000,1,Hyderabad,3.8
6272,Recenter,Front End Developer - Intern,400000,1,Hyderabad,4.0
6273,C2D Software,Front End Developer,192000,1,Hyderabad,3.8
6274,SilverDoor,Front End Developer,1000000,1,Hyderabad,4.4
6275,Devza,Front End Developer,1900000,1,Hyderabad,4.7
6276,BornMonkie,Front End Developer,396000,1,Hyderabad,4.6
6277,OI Digital,Front End Developer,700000,1,Hyderabad,2.0
6278,Sourceeasy,Front End Developer,1100000,1,Hyderabad,2.9
6279,Stockroom,Front End Developer,528000,1,Hyderabad,3.9
6280,Lloyd Harrington,Front End Developer - Intern,84000,1,Hyderabad,3.4
6281,Sunseaz Technologies,Front End Developer,432000,1,Hyderabad,3.8
6282,DeepIQ,Front End Developer,1100000,1,Hyderabad,5.0
6283,LadderStack Technologies,Front End Developer,372000,1,Hyderabad,4.6
6284,CuriousJr,Front End Developer,60000,1,Hyderabad,4.3
6285,Ikonos Technologies,Front End Developer,1032000,1,Hyderabad,4.0
6286,Envisionard Companies,Front End Developer,400000,1,Hyderabad,3.7
6287,Lorvenka Global IT Services,Front End Developer,500000,1,Hyderabad,4.3
6288,Qapita,Front End Developer,900000,1,Hyderabad,4.8
6289,Freelancer Munna,Front End Developer,192000,1,Hyderabad,4.3
6290,Innostes Solutions,Front End Developer,204000,1,Hyderabad,4.7
6291,MacTec,Front End Developer,240000,1,Hyderabad,3.4
6292,CGCS,Front End Developer,252000,1,Hyderabad,4.0
6293,GP InfoTech,Front End Developer,400000,1,Hyderabad,4.5
6294,NiteoIT,Front End Developer,300000,1,Hyderabad,4.0
6295,Scintillate Informatics,Front End Developer,200000,1,Hyderabad,2.9
6296,Apxor,Front End Developer,600000,1,Hyderabad,4.5
6297,Ridhan Technologies,Front End Developer,204000,1,Hyderabad,4.1
6298,CareerNaksha,Front End Developer,192000,1,Hyderabad,4.4
6299,Extreme Informatics,Front End Developer,720000,1,Hyderabad,4.4
6300,Voola Software Solutions,Front End Developer,900000,1,Hyderabad,5.0
6301,EurAsian Software Solutions,Front End Developer,1200000,1,Hyderabad,3.4
6302,WI Group,Front End Developer,1622016,1,Hyderabad,5.0
6303,Serial Experiments Emerging Technologies,Front End Developer,300000,1,Hyderabad,5.0
6304,CodePrism,Front End Developer,180000,1,Hyderabad,3.0
6305,Oi (UK),Front End Developer,600000,1,Hyderabad,4.0
6306,Stonedge Technologies and Robotics,Front End Developer,300000,1,Hyderabad,5.0
6307,Faruk Holding,Front End Developer,252000,1,Hyderabad,4.3
6308,Ysk Infotech,Front End Developer,300000,1,Hyderabad,3.8
6309,AIKNIGHTS,Front End Developer,252000,1,Hyderabad,5.0
6310,Nivriti Solutions Global,Front End Developer,200000,1,Hyderabad,2.4
6311,eReinsure,Front End Developer,900000,1,Hyderabad,5.0
6312,Activa,Front End Developer,500000,1,Hyderabad,3.9
6313,Alithya,Front End Developer,636000,1,Hyderabad,3.8
6314,PAGO Analytics,Front End Developer,300000,1,Hyderabad,4.8
6315,Transtech Solutions,Front End Developer,400000,1,Hyderabad,3.0
6316,Órama,Front End Developer,1200000,1,Hyderabad,3.5
6317,Resource Technologies,Front End Developer,400000,1,Hyderabad,4.3
6318,iSpatial Techno Solutions,Front End Developer,200000,1,Hyderabad,4.0
6319,Frontier Economics,Front End Developer,100000,1,Hyderabad,4.4
6320,Daksh Energy Systems,Front End Developer,384000,1,Hyderabad,4.0
6321,Anko,Front End Developer,120000,1,Hyderabad,3.7
6322,Accenflair IT Solutions,Front End Developer,240000,1,Hyderabad,5.0
6323,C3 Experiential Learning,Front End Developer - Intern,504000,1,Hyderabad,3.5
6324,Jobs Vibhaga,Front End Developer,264000,1,Hyderabad,5.0
6325,True Wave,Front End Developer,500000,1,Hyderabad,5.0
6326,Intrix Opex It Solutions,Front End Developer,200000,1,Hyderabad,4.0
6327,naga sai kiran,Front End Developer,300000,1,Hyderabad,4.0
6328,Kushwanth,Front End Developer,500000,1,Hyderabad,4.0
6329,Gantec Publishing Solutions,Front End Developer,500000,1,Hyderabad,4.5
6330,SAMA Telecom,Front End Developer,100000,1,Hyderabad,1.0
6331,Mokriya,Front End Developer,800000,1,Hyderabad,4.3
6332,cygengroup,Front End Developer,300000,1,Hyderabad,5.0
6333,Jellyglass,Front End Developer,204000,1,Hyderabad,5.0
6334,Soumya Ranjan Samal,Front End Developer,192000,1,Hyderabad,4.0
6335,Symphonized,Front End Developer,500000,1,Hyderabad,3.5
6336,Tera Torrent Technologies,Front End Developer,624000,1,Hyderabad,4.6
6337,FinMkt,Front End Developer,400000,1,Hyderabad,4.5
6338,Azad Labs,Front End Developer,312000,1,Hyderabad,4.0
6339,KTI Systems,Front End Developer,400000,1,Hyderabad,4.0
6340,Studentmug,Front End Developer,300000,1,Hyderabad,2.4
6341,Dr Roundz,Front End Developer,100000,1,Hyderabad,4.0
6342,WinGig,Front End Developer,324000,1,Hyderabad,4.5
6343,AINE AI,Front End Developer,432000,1,Hyderabad,3.5
6344,Jerusha Technologies,Front End Developer,72000,1,Hyderabad,4.0
6345,DBAce,Front End Developer,504000,1,Hyderabad,3.0
6346,S Media Solutions,Front End Developer,840000,1,Hyderabad,4.0
6347,rithvick,Front End Developer,408000,1,Hyderabad,4.0
6348,UniLearn,Front End Developer,156000,1,Hyderabad,1.0
6349,Tata Consultancy Services,Front End Web Developer,600000,4,Hyderabad,3.9
6350,Deloitte,Front End Web Developer,876000,2,Hyderabad,4.0
6351,First Student,Front End Web Developer,264000,2,Hyderabad,4.1
6352,NewGlobe,Senior Front End Developer,2000000,2,Hyderabad,3.2
6353,MySmartPrice,Front End Engineer,200000,2,Hyderabad,3.9
6354,Novartis,Front End Designer,700000,2,Hyderabad,4.2
6355,Tata Consultancy Services,Front-End Developer,400000,1,Hyderabad,3.9
6356,Capgemini,Front-End Developer,192000,1,Hyderabad,3.8
6357,Not Listed,Software Engineer - Front End,400000,1,Hyderabad,3.8
6358,Infosys,Front End Web Developer,200000,1,Hyderabad,3.3
6359,Infosys,Front End Web Developer - Contractor,400000,1,Hyderabad,3.3
6360,Cognizant Technology Solutions,Front End Web Developer,800000,1,Hyderabad,3.8
6361,Accenture,Front End Web Developer,500000,1,Hyderabad,4.1
6362,Mphasis,Front End Web Developer - Intern,144000,1,Hyderabad,3.7
6363,Nones,Front End Web Developer,288000,1,Hyderabad,4.0
6364,YES,Front End Web Developer,264000,1,Hyderabad,4.2
6365,Freelance,Front End Web Developer,192000,1,Hyderabad,4.3
6366,PK,Front End Web Developer,468000,1,Hyderabad,4.0
6367,TeacherActive,Front End Web Developer,156000,1,Hyderabad,4.3
6368,Cigniti Inc.,Front End Web Developer,456000,1,Hyderabad,4.1
6369,Im a fresher stop asking me,Front End Web Developer,312000,1,Hyderabad,4.2
6370,Neudesic,Front End Web Developer,1500000,1,Hyderabad,4.5
6371,Web-Designer,Front End Web Developer,300000,1,Hyderabad,4.4
6372,Techouts,Front End Web Developer,300000,1,Hyderabad,4.4
6373,Frontend Design,Front End Web Developer,408000,1,Hyderabad,4.5
6374,AGS Infotech limited,Front End Web Developer,500000,1,Hyderabad,4.3
6375,Moonstone Infotech,Front End Web Developer,400000,1,Hyderabad,4.5
6376,Allyis,Front End Web Developer,600000,1,Hyderabad,3.8
6377,Mahesh Edible Oil Industries,Front End Web Developer,100000,1,Hyderabad,3.4
6378,Careator Technologies,Front End Web Developer,500000,1,Hyderabad,4.4
6379,Idea Entity,Front End Web Developer,300000,1,Hyderabad,3.8
6380,Sourceeasy,Front End Web Developer,204000,1,Hyderabad,2.9
6381,Porter Novelli,Front End Web Developer - Contractor,700000,1,Hyderabad,3.7
6382,Anna IT Services,Front End Web Developer,500000,1,Hyderabad,4.0
6383,Ingenious,Front End Web Developer - Intern,72000,1,Hyderabad,2.9
6384,Cybervie,Front End Web Developer - Intern,120000,1,Hyderabad,3.7
6385,Ciesto Technologies,Front End Web Developer,700000,1,Hyderabad,4.0
6386,Al Garawi Group,Front End Web Developer,1080000,1,Hyderabad,4.0
6387,Solar Secure Solutions,Front End Web Developer,1000000,1,Hyderabad,4.0
6388,Wono,Front End Web Developer,200000,1,Hyderabad,5.0
6389,Pinite Info Solutions,Front End Web Developer,100000,1,Hyderabad,4.0
6390,Mphasis,Senior Front End Developer,1300000,1,Hyderabad,3.7
6391,Nestlé,Senior Front End Developer - Contractor,400000,1,Hyderabad,4.1
6392,Pegasystems,Senior Front End Developer,2100000,1,Hyderabad,3.8
6393,Menlo Technologies,Senior Front End Developer,1900000,1,Hyderabad,3.4
6394,Everest DX,Senior Front End Developer,1700000,1,Hyderabad,4.3
6395,Bharat Petroleum,Front End Cashier,120000,1,Hyderabad,3.8
6396,More Retail,Front End Cashier,120000,1,Hyderabad,3.3
6397,Sai Kiran Properties,Junior Front End Developer,500000,1,Hyderabad,3.2
6398,Flixmedia,Junior Front End Developer,400000,1,Hyderabad,3.3
6399,Accenture,Front End Engineer,600000,1,Hyderabad,4.1
6400,Dell Technologies,Front End Engineer,1000000,1,Hyderabad,4.3
6401,Virtusa,Front End Engineer,400000,1,Hyderabad,3.7
6402,BrightChamps,Front End Engineer,1000000,1,Hyderabad,4.1
6403,Solix Technologies,Front End Engineer,1600000,1,Hyderabad,3.0
6404,Mounty,Front End Engineer,636000,1,Hyderabad,4.0
6405,ICS Consultancy,Front End Associate,2000000,1,Hyderabad,3.9
6406,kkkkmhtr tn,Front End Assistant,200000,1,Hyderabad,3.6
6407,Accenture,Front-End Web Developer,180000,1,Hyderabad,4.1
6408,SRE Property & Facility Managment,Front-End Web Developer,192000,1,Hyderabad,4.0
6409,Repsoft Consultancy Services,Front-End Web Developer - Intern,252000,1,Hyderabad,4.0
6410,Gainsight,Lead Front End Developer,2900000,1,Hyderabad,4.6
6411,Tata Consultancy Services,Front End UI Developer,700000,1,Hyderabad,3.9
6412,Accenture,Front End UI Developer,400000,1,Hyderabad,4.1
6413,EMPLOYERS,Front End UI Developer,100000,1,Hyderabad,4.1
6414,HCL,Front End UI Developer,252000,1,Hyderabad,3.6
6415,Zensar Technologies,Front End UI Developer,264000,1,Hyderabad,3.9
6416,Collabera,Front End UI Developer,636000,1,Hyderabad,3.8
6417,Intense Technologies,Front End UI Developer,300000,1,Hyderabad,4.0
6418,"ALTRUISTA HEALTH, INC.",Front End UI Developer,672000,1,Hyderabad,3.4
6419,Eunimart,Front End UI Developer,500000,1,Hyderabad,4.2
6420,Thrymr Software,Front End UI Developer,144000,1,Hyderabad,2.7
6421,TheRightDoctors,Front End UI Developer,132000,1,Hyderabad,3.4
6422,Ihits Software,Front End UI Developer,200000,1,Hyderabad,2.5
6423,Taxilla IT Solutions,Front End UI Developer,800000,1,Hyderabad,4.0
6424,Thoughtwave Software and Solutions,Front End UI Developer,200000,1,Hyderabad,4.3
6425,Impetus Solutions,Front End UI Developer,252000,1,Hyderabad,4.2
6426,SMBXL,Front End UI Developer,500000,1,Hyderabad,4.2
6427,Rapid Technologies,Front End UI Developer,192000,1,Hyderabad,3.7
6428,Only PSD 2 HTML,Front End UI Developer,400000,1,Hyderabad,4.0
6429,Emphorasoft,Front End UI Developer,200000,1,Hyderabad,4.3
6430,Behavox,Senior Front End Engineer,2900000,1,Hyderabad,3.8
6431,EntitledArts,Senior Front-end Developer,700000,1,Hyderabad,4.6
6432,test,Front End Lead,1700000,1,Hyderabad,3.9
6433,Tata Consultancy Services,Sr. Front End Developer,216000,1,Hyderabad,3.9
6434,Freyr,Sr. Front End Developer,700000,1,Hyderabad,3.8
6435,Jotter,Sr. Front End Developer,800000,1,Hyderabad,2.6
6436,AppIt Ventures,Sr. Front End Developer,900000,1,Hyderabad,4.8
6437,HCL Technologies,Csa Front End - Contractor,200000,1,Hyderabad,3.7
6438,Fresherworld.com,Junior Front-End Web Developer Contractor,288000,1,Hyderabad,4.0
6439,SalesBlink,Junior Front-End Web Developer - Intern,400000,1,Hyderabad,4.0
6440,Dabslek,Web Developer (Front-end),1096128,1,Hyderabad,4.0
6441,Accenture,Front End Dev,636000,1,Hyderabad,4.1
6442,Jiva Infotech,UI Front End Developer,1600000,1,Hyderabad,4.3
6443,Acriters Technologies,UI Front End Developer,500000,1,Hyderabad,4.5
6444,Amazon,Front End Engineer II,3300000,1,Hyderabad,3.8
6445,Reliance Industries,Front End Chasier,228000,1,Hyderabad,3.9
6446,NCR,Front-End Architect,4700000,1,Hyderabad,3.7
6447,Hanns-Seidel-Stiftung,Front End Web Deceloper,492000,1,Hyderabad,3.8
6448,MAYIWARE INFOTECH,Front End Developer (Angular),600000,1,Hyderabad,5.0
6449,Deloitte,Associate Front End Engineer,1000000,1,Hyderabad,4.0
6450,1Digitals,AEM Front End Developer - Intern,108000,1,Hyderabad,3.5
